57,Sanjay Mishra,1963,"['Masaan', 'Ankhon Dekhi', 'Kaamyaab', 'Dilwale']","['Reparto', 'Cámara y electricidad', 'Composición']","['Filmfare Awards Gan', 'Hamptons International Film Festival Gan', 'Zee Cine Awards Nom', 'Los Angeles Indian Film Festival Gan', 'Apsara Film Producers Guild Awards Nom']"
58,Johny Lever,1957,"['Koi... Mil Gaya', 'Baazigar', 'Awara Paagal Deewana', 'Algo sucede en mi corazón']","['Reparto', 'Música', 'Equipos adicionales']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom', 'Bollywood Awards Nom']"
59,Anil Charanjeett,1983,"['Living Idle', '2017', '2014', '2017', '2021']","['Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección']","['Telly Awards Gan', 'Hollywood International Moving Pictures Film Festival Gan', 'MedFF Nom', 'Red Corner Film Festival Gan', 'Nez International Film Festival Gan']"
60,Mukesh Tiwari,1969,"['China Gate', 'Gangaajal', 'Dilwale', 'Chennai Express']",['Reparto'],"['Filmfare Awards Nom', 'Zee Cine Awards Nom', 'HT Café Film Awards Nom', 'Screen Awards IN Nom']"
61,Vrajesh Hirjee,1971,"['Reencuentro con el destino', 'Fanaa', 'Lakeer: Forbidden Lines', 'Mujhe Kucch Kehna Hai']","['Reparto', 'Guion']","['Zee Cine Awards Nom', 'Screen Awards IN Nom', 'Indian Telly Awards Nom', 'Contribuir a esta página ir ']"
62,Murli Sharma,1972,"['Baby', 'Jaane Tu... Ya Jaane Na', 'Ala Vaikunthapurramuloo', 'Sita Ramam']",['Reparto'],"['Filmfare Awards South Gan', 'South Indian International Movie Awards Gan', 'Indian Telly Awards Nom', 'Bollywood Life Awards Gan']"
63,Justin Chatwin,1982,"['Dragonball Evolution', 'La guerra de los mundos', 'Lo que no se ve', 'Weeds', '2005–2012 • 3 episodios']","['Reparto', 'Producción']","['Canadian Screen Awards CA Nom', 'Moscow Indie Film Festival Nom', 'Florence Film Awards Gan', 'New York Movie Awards Gan', 'Rome International Movie Awards Gan']"
64,Malcolm McDowell,1943,"['La naranja mecánica', 'Star Trek: La próxima generación', 'Los pasajeros del tiempo', 'Halloween: El origen']","['Reparto', 'Producción', 'Guion']","['Academy of Science Fiction Fantasy & Horror Films USA Gan', 'Bare Bones International Film & Music Festival Nom', 'Sitges - Catalonian International Film Festival Gan', 'Evening Standard British Film Awards Gan', 'Golden Globes USA Nom']"
65,Terrence Howard,1969,"['Crash (Colisión)', 'Hustle & Flow', 'Iron Man', 'Cuatro hermanos']","['Reparto', 'Producción', 'Guion']","['Academy Awards USA Nom', 'Acapulco Black Film Festival Nom', 'BET Awards Gan', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
66,Jeremy Piven,1965,"['Entourage (El séquito)', '2004–2011 • 96 episodios', '2001', '1997', '1989']","['Reparto', 'Producción', 'Guion']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Primetime Emmy Awards Gan', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Monte-Carlo TV Festival Nom']"
67,Katie Douglas,1998,"['Ginny y Georgia', '2021–2025 • 22 episodios', '2018', 'Lisa', 'Serie de TV']","['Reparto', 'Banda sonora']","['Daytime Emmy Awards Nom', 'Young Artist Awards Nom', 'ACTRA Awards Nom', 'Hollywood Reel Independent Film Festival Gan', 'Canadian Screen Awards CA Gan']"
