,0,1,2,3,4,5,6,7
68,5.8,45%,Michel Gondry,Seth Rogen,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.","Action
Comedy
Crime",1h 59m,The Green Hornet
69,5.0,80%,Adrien Crespon,Ariane AggiagePhilippe PeythieuBernard Tiphaine,What if mankind's original sin wasn't stealing the Fruit of Knowledge but accidentally destroying the Tree?,Animation,6m,Eden
70,3.8,20%,Robin Hardy,Robin Hardy,"Charmed by the residents of Tressock, Scotland, two young missionaries accept the invitation to participate in a local festival, fully unaware of the consequences of their decision.","Drama
Horror",1h 36m,The Wicker Tree
71,6.1,51%,Bruce Robinson,Bruce Robinson,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,"Comedy
Drama",1h 59m,The Rum Diary
72,7.1,60%,Shawn Levy,John Gatins,"In a near future where robot boxing is a top sport, a struggling ex-boxer feels he's found a champion in a discarded robot.","Action
Drama
Sci-Fi",2h 7m,Real Steel
73,6.6,30%,Margaret Whitton,Roger Towne,"A man in search of his past, and a woman who lives in the moment, are brought together when they pursue the origins of a stray parrot in this comedic and romantic drama.","Drama
Romance",1h 48m,A Bird of the Air
74,6.5,99%,Kenneth Lonergan,Kenneth Lonergan,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.","Drama
Mystery",2h 30m,Margaret
75,6.9,45%,Stephen Daldry,Eric Roth,"A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.","Adventure
Drama
Mystery",2h 9m,Extremely Loud & Incredibly Close
76,6.8,85%,Terrence Malick,Terrence Malick,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.","Drama
Fantasy",2h 19m,The Tree of Life
77,5.6,12%,Paul Johansson,Brian Patrick O'Toole,Railroad executive Dagny Taggart and steel mogul Henry Rearden form an alliance to fight the increasingly authoritarian government of the United States.,"Drama
Mystery
Sci-Fi",1h 37m,Atlas Shrugged: Part I
78,5.2,68%,Ryan Combs,Ryan Combs,"The ""Latin Dragon"" does it again this roller coaster ride of martial arts action. Police Detective Bobby Giovanni's wife has been murdered, his children taken into care and he wants revenge.","Action
Crime
Drama",1h 40m,Double Tap
