0,1,2,3,4,5
42.0,Téa Leoni,1966,"['The Family Man', 'Jurassic Park III', 'Deep Impact', 'Bad Boys']","['Actress', 'Producer', 'Additional Crew']","['Academy of Science Fiction Fantasy & Horror Films USA Win', 'Blockbuster Entertainment Awards Nom', ""People's Choice Awards USA Nom"", 'TV Land Awards Nom', 'Alliance of Women Film Journalists Nom']"
43.0,Michael Peña,1976,"['American Hustle', 'Crash', 'End of Watch', 'Ant-Man']","['Actor', 'Producer', 'Soundtrack']","['ALMA Awards Win', 'Gotham Awards Nom', 'Imagen Foundation Awards Win', 'Film Independent Spirit Awards Nom', 'MTV Movie + TV Awards Nom']"
44.0,Gabourey Sidibe,1983,"['Precious', 'Tower Heist', 'Seven Psychopaths', 'Antebellum']","['Actress', 'Director', 'Producer']","['Academy Awards USA Nom', 'BET Awards Nom', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
45.0,Hank Azaria,1964,"['The Simpsons', '1989–2024 • 756 eps', 'Alex', 'Agador', 'Blue Raja']","['Actor', 'Producer', 'Writer']","['American Comedy Awards USA Nom', 'Annie Awards Win', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Screen Actors Guild Awards Nom']"
46.0,Neil Patrick Harris,1973,"['A Series of Unfortunate Events', '2017–2019 • 25 eps', 'Barney Stinson', 'Desi Collings', 'Carl Jenkins']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Daytime Emmy Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
47.0,Jayma Mays,1979,"['Red Eye', 'Epic Movie', 'American Made', 'The Smurfs']","['Actress', 'Soundtrack']","[""Kids' Choice Awards USA Nom"", 'Screen Actors Guild Awards Nom', 'Teen Choice Awards Nom', 'Alliance of Women Film Journalists Nom', 'Gold Derby Awards Nom']"
48.0,Sofía Vergara,1972,"['Hot Pursuit', 'Modern Family', '2009–2020 • 250 eps', '2014', '2011']","['Actress', 'Producer', 'Soundtrack']","['ALMA Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Image Awards (NAACP) Nom']"
49.0,Tim Gunn,1953,"['Project Runway', '2011–2017 • 120 eps', 'Baileywick(voice)', 'Writer', 'Tim Gunn']","['Producer', 'Actor', 'Writer']","['Primetime Emmy Awards Nom', 'PGA Awards Nom', 'Online Film & Television Association Nom', 'Behind the Voice Actors Awards Nom', 'Voice Arts Awards Nom']"
50.0,Antonio Banderas,1960,"['The Mask of Zorro', 'The Skin I Live In', 'The 13th Warrior', 'Once Upon a Time in Mexico']","['Actor', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'Annie Awards Nom', 'Berlin International Film Festival Win']"
51.0,Salma Hayek,1966,"['Frida', 'Desperado', 'Wild Wild West', 'Savages']","['Actress', 'Producer', 'Director']","['Ariel Awards Mexico Nom', 'Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Nom', 'Bambi Awards Win']"
