,0,1,2,3,4,5,6,7
139,"7,3",97%,Fletcher Moules,Kid Cudi,"Jabari, un artista ambicioso, intenta compaginar el éxito y el amor al instalarse en el piso de sus sueños en Manhattan y enamorarse de su vecina.","Animación
Comedia
Música",1h 33min,Entergalactic
140,"6,6",70%,Sean Anders,Sean Anders,Una versión musical de la historia de Charles Dickens de un misántropo avaro que se embarca en un viaje mágico.,"Comedia
Familiar
Musical",2h 7min,El espíritu de la Navidad
141,"7,0",87%,Tom Gormican,Tom Gormican,"Un actor sin dinero acepta presentarse en la fiesta de cumpleaños de un fanático multimillonario, un capo de la droga que recién secuestró a la hija de un candidato a la presidencia. La CIA lo recluta para obtener información.","Acción
Comedia
Crimen",1h 47min,El insoportable peso de un talento descomunal
142,"5,2",69%,Nelson Dilipkumar,Nelson Dilipkumar,"Después de que un centro comercial en Chennai es secuestrado por terroristas que retienen a los visitantes como rehenes, un espía también atrapado en el centro comercial decide salvar a los rehenes eliminando a los terroristas.","Acción
Comedia
Crimen",2h 35min,Beast
143,"6,8",86%,Jeff Tremaine,Jason 'Wee Man' Acuña,"Después de once años, el equipo de Jackass regresa para su última misión.","Documental
Acción
Comedia",1h 36min,Burro Por Siempre
144,"5,5",44%,Jean-Pierre Jeunet,Guillaume Laurant,"Año 2045. Las IA hacen casi todas las tareas del hogar, incluso en la anticuada casa de Alice. Y cuando los robots se rebelan, sus androides deciden protegerla.","Comedia
Ciencia ficción",1h 51min,Bigbug
145,"7,1",91%,Rian Johnson,Rian Johnson,El famoso detective sureño Benoit Blanc viaja a Grecia para su último caso.,"Comedia
Crimen
Drama",2h 19min,Puñales por la espalda: El misterio de Glass Onion
146,"5,8",23%,Patrick Hughes,Robbie Fox,Un caso de identidad equivocada obliga a un empresario inepto a colaborar con el asesino conocido como el «Hombre de Toronto» para sobrevivir.,"Acción
Aventura
Comedia",1h 50min,El hombre de Toronto
147,"2,3",17%,Ahmed Khan,Rajat Arora,"Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?","Acción
Comedia
Crimen",2h 25min,Heropanti 2
148,"6,0",65%,Anne Fletcher,Jen D'Angelo,Tres mujeres jóvenes traen accidentalmente a las hermanas Sanderson a la Salem moderna y deben descubrir cómo evitar que las brujas hambrientas de niños causen estragos en el mundo.,"Comedia
Familiar
Fantasía",1h 43min,El retorno de las brujas 2
149,"5,3",40%,Jay Chandrasekhar,Kate Angelo,"Ambientada en torno a una reunión familiar para celebrar el Domingo de Pascua, la comedia se basa en las experiencias de vida y la comedia de stand-up de Jo Koy.",Comedia,1h 36min,Easter Sunday
150,"6,7",73%,Tommy Wirkola,Pat Casey,"Cuando un grupo de mercenarios ataca la propiedad de una familia adinerada, Santa Claus debe intervenir para salvar el día (y la Navidad).","Acción
Comedia
Suspense",1h 52min,Noche de paz
151,"6,7",63%,Peter Sollett,D.B. Weiss,Dos amigos se juntan para formar una banda de heavy metal con un violonchelista y así poder participar en una competencia de bandas.,Comedia,1h 37min,Metal Lords
152,"5,0",41%,Martin Owen,Piers Ashworth,"Oliver no tiene amigos, ni familia, pero está a punto de descubrir que la familia nunca muere, su familia zombie le ayudará a ir más allá de su solitaria vida en los suburbios, a pesar de las sospechas de algunos.","Comedia
Terror",1h 31min,The Loneliest Boy in the World
153,"7,3",53%,David Leitch,Zak Olkewicz,Cinco asesinos a sueldo se encuentran a bordo de un tren bala que viaja de Tokio a Morioka con unas pocas paradas intermedias. La pregunta es quién saldrá vivo del tren y qué les espera en la estación final.,"Acción
Comedia
Suspense",2h 7min,Bullet Train
154,"5,2",33%,Gurmmeet Singh,Jasvinder Bath,Download karna hai kaise karen.,"Comedia
Terror",2h 16min,Phone Bhoot
155,"8,1",56%,Simon Schneider,Dario DelayDario HaramustekSimon Schneider,A nearly finished construction site. The construction manager Thomas Zetzsche is proud of his achievement. But suddenly more and more defects appear and the opening date has to be postponed. Thomas must confront his own responsibility in this faulty system.,Corto,24min,Zeitpunkt X
156,"6,7",84%,Jim Archer,David Earl,"Después de un invierno duro, Brian cae en una profunda depresión; Completamente aislado y sin nadie con quien hablar, Brian hace lo que cualquier persona en su sano juicio haría ante una situación tan melancólica. Construye un robot.","Comedia
Drama
Ciencia ficción",1h 30min,Brian y Charles
