,0,1,2,3,4,5,6,7
91,7.3,,Gore Verbinski,John Logan,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.","Animation
Action
Adventure",1h 47m,Rango
92,4.1,,Tanner Beard,Tanner Beard,"The story of how 'Hell's Gate' at Possum Kingdom Lake, Texas came to have its name. Relive the story of how three outlaws' expeditions and encounters through historical 1870s Texas were remembered for a lifetime.","Action
Adventure
History",1h 48m,The Legend of Hell's Gate: An American Conspiracy
93,3.1,,Antonio Hernández,Víctor Mora,A 12th-century knight-errant wanders the world fighting injustice and is accompanied by his faithful friends Crispin and Goliath.,"Action
Adventure",1h 48m,El Capitán Trueno y el Santo Grial
94,3.4,,Darrin Dickerson,Darrin Dickerson,"A team of special ops mercenaries is sent on a mission to rescue a kidnapped kid, believed to be held in an abandoned government facility but this simple search and rescue turns into a fight for survival.",Action,1h 38m,D4
95,6.3,,Evan Glodell,Evan Glodell,"Two friends spend all their free time building flame-throwers and weapons of mass destruction in hopes that a global apocalypse will occur and clear the runway for their imaginary gang ""Mother Medusa"".","Action
Drama
Romance",1h 43m,Bellflower
96,6.9,,Mathieu Kassovitz,Mathieu Kassovitz,Dissidents in a French overseas territory attack a police station and take hostages.,"Action
Drama
History",2h 16m,Rebellion
97,3.4,,Curt A. Sindelar,Charlie Armstrong,Three companies of paratroopers travel in a deadly mission to France to prepare the drop zone for the airborne attack on the D-Day. They have to install an Eureka transmitter and searchlight to guide the planes in the Normandy invasion.,"Action
Drama
History",1h 40m,Pathfinders: In the Company of Strangers
98,6.0,,Juan Felipe Orozco,Esteban Orozco,A former guerrilla is reluctantly drawn into the vengeance scheme of one of his victims.,Action,1h 30m,Saluda al diablo de mi parte
99,6.9,,Marv Z Silverman,Marv Z Silverman,"It's been almost 30 years since the King died. But was he really dead? In 1977, he was whisked away to another galaxy, but now, the King returns. As he doesn't want anyone to know who he really is, he enters an Elvis impersonator contest in Las Vegas. And the trouble begins...",Action,1h 41m,Memphis Rising: Elvis Returns
100,9.8,,Alex Kobbs,Alex Kobbs,"In this epic game of capture the flag, the blue and red team fight on the shores of Zanzibar.",Short,27m,Battle of the Brick: Built for Combat
101,6.1,,K. Madesh,K. MadeshK.V. RajuGautham Vasudev Menon,"The conscientious policeman ACP Surya is a powerful and efficient officer who works for law and order and protects people. One day when he is chasing criminals, he meets Maya and falls in love with her. He had previously thought that no woman could ever touch his heart again. Therefore he behaves a little awkwardly and cannot find the right words. Maya, on the other h... Read all",Action,2h 23m,Dandam Dashagunam
102,4.5,,Christopher Olness,Christopher Olness,"A washed up Vegas lounge singer, Jack Satin (Hamilton von Watts), has no money, no job, and delusional aspirations of fame. When Jack is forced to leave Vegas, he packs up his old Cadillac and hits the road for Atlantic City. But his car dies in the desert and Jack is left stranded in the small town of Lost Springs. There, Jack meets jazz legend turned mechanic, Doc B... Read all","Comedy
Drama
Music",1h 24m,Satin
103,5.9,,Beto Gómez,Francisco Payó González,A Mexican crime lord is forced by his mother to plan a suicidal rescue mission to find his lost brother in the most unexpected place on Earth...,"Adventure
Comedy
Western",1h 45m,Private Pérez
104,6.6,,Robin Christian,Robin Christian,"An out of work young actor with no respect for the elderly makes himself into an old man to get a part in a play. When research requires him to spend a week at a nursing home, he is forced to review his life choices.","Comedy
Drama",1h 41m,Act Your Age
105,2.9,,Jesús Bonilla,Joaquín AndújarJesús Bonilla,"Forged in ancient Egypt, Dagger of Rasputin is a legendary jewel that gives almost absolute power to its possessor. Caesar, Attila and Napoleon were some of their illustrious owners. The track jewel is lost in Russia, with the death of its last owner, the mad monk Rasputin. Since then, governments and powerful people have searched in vain. But suddenly, in a Spanish p... Read all",Adventure,1h 39m,La daga de Rasputín
106,4.4,,Chad Archibald,Chad ArchibaldRy BarrettGabriel Carrer,"Six strangers awake to find themselves the new tenants of a mysterious old house. Terrorized by insane Tiki-men in masks and taunted by their deranged captors,it soon becomes clear that only one singular action will save them: Kill.",Comedy,1h 30m,Kill
107,4.7,,Mike Disa,Cory Edwards,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.","Animation
Adventure
Comedy",1h 27m,Hoodwinked Too! Hood vs. Evil
108,7.9,,Lisa Hammer,Ben Edlund,The Manson family meets Austin Powers.,"Comedy
Sci-Fi",1h 40m,Pox
109,5.2,,Vincent Foster,Vincent Foster,"Eve Malone runs against a crooked Congressman...but does it in the nude. Starring Academy Award nominees Charles Durning (""The Best Little Whorehouse in Texas"") and Eileen Brennan (""Private Benjamin""), and Richard Tyson (""Black Hawk Down"". ""There's Something About Mary"").",Comedy,1h 24m,Naked Run
110,4.8,,Blayne Weaver,Blayne Weaver,A womanizer teaches his clueless friend the rules about being single and avoiding emotional attachment.,Comedy,1h 40m,6 Month Rule
111,5.5,,Angel Gracia,Fina Torres,"A Latina spin on Jane Austen's ""Sense and Sensibility"": two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.","Action
Comedy
Drama",1h 47m,From Prada to Nada
112,6.7,,Bibo Bergeron,Stéphane Kazandjian,"A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer.","Animation
Adventure
Comedy",1h 30m,A Monster in Paris
