,0,1,2,3,4
46,Ravi Kishan,1969,"['Matsya Kaand', '2021 • 9 episodios', 'Paandav', 'Dharam']","['Reparto', 'Producción']","['Zee Cine Awards Nom', 'South Indian International Movie Awards Nom', 'Indian Television Academy Awards India Nom', 'IWM Digital Awards Nom', 'Talent Track Awards Gan']"
47,Prem Chopra,1935,"['Koi... Mil Gaya', 'Do Anjaane', 'Animal', 'Gehri Chaal']","['Reparto', 'Música']","['Filmfare Awards Gan', 'Screen Awards IN Gan', 'Filmfare Awards East Gan', 'Contribuir a esta página ir ']"
48,Govinda,1963,"['Coolie No. 1', 'Partner', 'Holiday', 'Happy Ending']","['Reparto', 'Música', 'Producción']","['Filmfare Awards Gan', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Gan', 'Apsara Film Producers Guild Awards Nom', ""Sansui Viewer's Choice Awards Nom""]"
49,Jaaved Jaaferi,1960,"['Salaam Namaste', 'Operación Koh-I-Noor', '3 Idiots', 'Sooryavanshi']","['Reparto', 'Música', 'Producción']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Gan', 'Apsara Film Producers Guild Awards Nom', ""People's Choice Awards India Nom"", 'Indian Television Academy Awards India Nom']"
50,Ravi Kishan,1969,"['Matsya Kaand', '2021 • 9 episodios', 'Paandav', 'Dharam']","['Reparto', 'Producción']","['Zee Cine Awards Nom', 'South Indian International Movie Awards Nom', 'Indian Television Academy Awards India Nom', 'IWM Digital Awards Nom', 'Talent Track Awards Gan']"
51,Richard Roxburgh,1962,"['Van Helsing', 'Moulin Rouge', 'El santuario (Sanctum)', 'Rake', '2010–2018 • 40 episodios']","['Reparto', 'Guion', 'Producción']","['Film Critics Circle of Australia Awards Nom', 'Australian Film Institute Gan', 'Biarritz International Festival of Audiovisual Programming Gan', 'Logie Awards Gan', 'Screen Actors Guild Awards Nom']"
52,Ioan Gruffudd,1973,"['Los 4 Fantásticos', 'Los 4 Fantásticos y Silver Surfer', 'El rey Arturo', 'Titanic']","['Reparto', 'Dirección', 'Producción']","['Biarritz International Festival of Audiovisual Programming Gan', 'BAFTA Awards Wales Nom', 'Monte-Carlo TV Festival Nom', 'MTV Movie + TV Awards Nom', 'Razzie Awards Nom']"
53,Dan Wyllie,1970,"['Love My Way', '2004–2007 • 30 episodios', '2010', '2000', '1994']","['Reparto', 'Guion']","['Australian Film Institute Nom', 'Logie Awards Nom', 'Astra Awards Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom', 'The Equity Ensemble Awards Nom']"
54,Camilla Belle,1986,"['Prácticamente magia', 'Cuando llama un extraño', 'Push', '10.000']","['Reparto', 'Producción', 'Dirección']","['Gotham Awards Nom', 'Young Artist Awards Nom', 'Contribuir a esta página ir ']"
55,Alexa PenaVega,1988,"['Spy Kids 2: La isla de los sueños perdidos', 'Spy Kids', 'Spy Kids 3: Game Over', 'From Prada to Nada']","['Reparto', 'Música', 'Producción']","['ALMA Awards Gan', 'Imagen Foundation Awards Nom', 'Young Artist Awards Nom', 'YoungStar Awards Nom', 'NCLR Bravo Awards Nom']"
56,Alexis Ayala,1965,"['El Pantera', '2009 • 2 episodios', 'Justino Fregoso', 'Serie de TV', '8,4']","['Reparto', 'Dirección', 'Producción']","['Premios TVyNovelas Nom', 'Contribuir a esta página ir ']"
57,Adriana Barraza,1956,"['Babel', 'Blue Beetle', 'Arrástrame al infierno', 'Rambo: Last Blood']","['Equipos adicionales', 'Dirección', 'Reparto']","['Ariel Awards Mexico Nom', 'Academy Awards USA Nom', 'ALMA Awards Gan', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
58,Ben Kingsley,1943,"['Sexy Beast', 'Gandhi', 'La lista de Schindler', 'Iron Man 3']","['Reparto', 'Producción', 'Equipos adicionales']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Annie Awards Gan', 'Bambi Awards Gan', 'Boston Society of Film Critics Awards Gan']"
